% gravity , f/t measurements all expressed in F/T sensor frame
% [gx, gy, gz, fx, fy, fz, tx, ty, tz]
6.94738 -4.89743 4.89746 -3.10374 26.6018 -3.2643 0.525955 0.107196 -0.0417979
-4.89314 -6.94529 4.90472 0.201051 26.578 -3.23274 0.523759 0.0581902 -0.0415902
-6.93755 4.90347 4.90535 0.119937 26.0386 -3.16773 0.525301 0.0613777 -0.0411686
4.89651 6.94143 4.90682 -2.0273 25.7879 -3.14645 0.522385 0.0893863 -0.0412962
6.93015 -0.00647867 6.94327 -0.931092 26.1808 -3.30819 0.522608 0.0679595 -0.0416115
-0.00725277 -6.94427 6.92915 -2.13742 25.9906 -3.33524 0.512461 0.0952252 -0.0421649
-6.94327 -0.00904285 6.93015 -0.794874 26.2055 -3.29616 0.523401 0.0777085 -0.0413726
0.00264704 6.93129 6.94214 -2.2667 24.8673 -3.27472 0.504394 0.0977747 -0.0417268
6.94259 4.90058 4.9011 -2.34236 25.942 -3.10077 0.522704 0.0921227 -0.0418215
4.91748 -6.93648 4.89283 -0.807379 26.3586 -3.13066 0.519004 0.0669609 -0.0418239
-6.93739 -4.90693 4.90211 -1.56862 26.3349 -3.09389 0.520677 0.0909761 -0.0414449
-4.91357 6.92656 4.91077 -0.256178 25.5206 -3.06698 0.516404 0.0661475 -0.0410882
0.0019326 -6.93178 6.94165 -0.379702 27.2465 -3.22937 0.535998 0.0628217 -0.0413543
-6.9312 0.0107937 6.94222 -0.280552 25.8872 -3.23797 0.516981 0.066872 -0.0418002
0.0119097 6.9299 6.94352 -1.11622 26.3886 -3.21865 0.533332 0.076208 -0.0411916
6.93737 -0.00674573 6.93606 -1.65327 25.7947 -3.23532 0.514739 0.0791164 -0.0416309
-0.00901414 -0.000236697 9.81 -0.443751 25.4888 -3.48894 0.508959 0.0638895 -0.041911
-0.00254853 -0.00157377 9.81 -0.685812 26.9441 -3.44575 0.537163 0.0677266 -0.0412575
0.00884603 -0.00962464 9.80999 -2.10973 25.2582 -3.4948 0.504546 0.0934015 -0.0421754
-0.003529 -0.00803621 9.81 0.0940592 26.025 -3.48287 0.518908 0.0531009 -0.0418363
-0.003466 6.94088 6.93255 -0.301445 26.0193 -3.2442 0.525753 0.060651 -0.0412265
6.94201 -0.00579398 6.93142 -1.17144 25.9182 -3.24383 0.517295 0.0693273 -0.0421861
0.00378518 -6.93844 6.935 -0.152786 26.9649 -3.21567 0.53024 0.0572988 -0.0414192
-6.94311 -0.0147878 6.93031 -0.730097 25.8488 -3.20067 0.515537 0.0745998 -0.0411509
-6.941 -4.90964 4.89429 -0.851232 25.5561 -3.03834 0.50536 0.0757842 -0.0422403
-4.9094 6.93578 4.90191 0.131701 26.1463 -2.96958 0.528029 0.0569032 -0.0411432
6.93765 4.89426 4.9144 -2.05207 25.0267 -3.02666 0.504447 0.0855208 -0.0417844
4.91003 -6.93046 4.90882 -1.48818 26.406 -3.02212 0.519291 0.0768452 -0.0418683
4.91 -6.93059 4.90865 -1.47178 26.3852 -3.00441 0.518649 0.0763523 -0.0417619
0.00318702 6.93227 6.94116 -1.07167 25.3561 -3.17068 0.513408 0.0736862 -0.0416624
6.93233 0.00696813 6.9411 -2.53082 26.0242 -3.19117 0.518774 0.0933128 -0.0419443
-0.00396727 -6.93122 6.94221 -1.41297 25.9918 -3.20084 0.510988 0.0794084 -0.0420124
-6.93884 4.89449 4.91249 0.324689 26.1333 -3.0259 0.525388 0.054642 -0.0411434
4.90544 6.92981 4.91432 -1.35625 24.4275 -3.05812 0.495067 0.0740637 -0.0421723
6.93858 -4.90448 4.90288 -1.33024 26.1409 -3.01593 0.516042 0.0711669 -0.0420791
-4.89626 -6.94004 4.90903 -0.726035 25.4283 -3.01826 0.500066 0.0712077 -0.0419424
