% gravity , f/t measurements all expressed in F/T sensor frame
% [gx, gy, gz, fx, fy, fz, tx, ty, tz]
6.93061 -4.91001 4.90862 -5.4376 30.6439 -2.78384 0.404102 -0.0614401 0.0134266
-4.90486 -6.93163 4.91233 2.14845 31.3155 -2.83031 0.353706 0.226858 -0.0321705
-6.93502 4.91188 4.90052 4.341 23.3154 -2.71828 0.634058 0.25081 -0.0936138
4.8998 6.93332 4.91499 -4.13831 21.5643 -2.76743 0.659841 -0.0174924 -0.0485691
6.94501 0.012445 6.92841 -6.48653 27.3113 -4.31428 0.508297 -0.0347486 -0.00856471
-0.0118869 -6.93749 6.93593 -1.27203 30.9421 -4.36754 0.333711 0.124262 -0.0103018
-6.93857 -0.000311853 6.93487 4.98739 27.1234 -4.26632 0.51876 0.251611 -0.0715722
-0.00151519 6.93724 6.93619 -2.70886 21.0629 -4.26848 0.647476 0.139543 -0.0719259
6.9479 4.90046 4.89369 -5.67822 23.6594 -2.64623 0.624728 -0.0608474 -0.0307788
4.90744 -6.94072 4.89689 -6.00694 31.3559 -2.69946 0.345787 0.0243313 0.0130784
-6.93927 -4.90505 4.90134 5.0195 30.664 -2.62518 0.416309 0.243499 -0.0495955
-4.91708 6.9347 4.89574 3.41412 21.6644 -2.66182 0.665376 0.195936 -0.0928563
0.00022848 -6.93031 6.94312 -0.314426 31.8275 -4.11617 0.346795 0.098149 -0.00811079
-6.93391 0.0206582 6.93949 4.08091 26.8127 -4.09508 0.513868 0.268691 -0.0722753
0.00581242 6.94002 6.93341 -2.3713 20.8648 -4.06055 0.64616 0.131716 -0.0716327
6.9292 -0.00410672 6.94423 -6.01044 26.7404 -4.03637 0.498557 -0.0473611 -0.00846754
0.00578619 0.00623474 9.81 -0.361515 27.2807 -6.37111 0.494679 0.116412 -0.0390636
0.00168641 0.0112153 9.80999 -0.906337 27.3928 -6.34923 0.509628 0.123338 -0.0407298
0.0111173 -0.00617695 9.80999 -2.24668 25.6934 -6.3441 0.472033 0.140703 -0.0402445
0.0021549 -0.0104418 9.80999 -0.191701 26.8366 -6.30725 0.484781 0.107479 -0.0392802
-0.0111303 6.93156 6.94186 -1.07398 22.2445 -4.12804 0.662894 0.11767 -0.0711768
6.9326 0.0111105 6.94082 -6.35588 26.6314 -4.01609 0.50958 -0.0365162 -0.0109318
-0.00154333 -6.93536 6.93807 -1.50041 31.9755 -4.06397 0.353986 0.11207 -0.00806163
-6.94553 -0.0111773 6.92789 4.54494 27.0636 -4.05276 0.501654 0.255702 -0.069983
-6.93208 -4.90351 4.91304 3.85652 29.4576 -2.32366 0.389144 0.262842 -0.0500755
-4.90748 6.92971 4.91242 3.16013 21.8907 -2.1957 0.675761 0.204035 -0.093398
6.9308 4.90202 4.91632 -6.84429 22.1948 -2.21866 0.605076 -0.0409455 -0.0324976
4.90631 -6.93135 4.91128 -4.97331 31.7351 -2.2255 0.355038 -0.00419103 0.0133922
4.90635 -6.9314 4.91116 -4.97861 31.7623 -2.2321 0.355628 -0.00420195 0.013209
0.000398904 6.93129 6.94214 0.0248693 20.85 -3.83139 0.646506 0.0992256 -0.0729539
6.93234 -0.00447173 6.94109 -6.98726 27.186 -3.79765 0.517523 -0.029919 -0.0102071
0.00826339 -6.93201 6.94142 -1.00107 30.9177 -3.8492 0.329056 0.10386 -0.00811667
-6.93911 4.89605 4.91055 3.97177 23.558 -2.29057 0.622784 0.263935 -0.0927543
4.91791 6.93576 4.89341 -5.6934 20.9406 -2.30632 0.65508 0.019461 -0.0514834
6.93967 -4.90521 4.90061 -5.82064 29.4712 -2.36617 0.391347 -0.0589183 0.0122586
-4.89234 -6.95014 4.89863 1.65353 32.3578 -2.32942 0.367254 0.222357 -0.0294905
